,ticker,market_cap
234,AFI,9203363378.838867
235,AGC,47470444.1317749
236,AUZ,11977070.70569253
237,AOK,3113339.9310622215
238,AQC,6304211.440617561
239,AR3,22299269.303783774
240,ASQ,4791620.26040256
241,ASM,130772654.88328743
242,AUI,1424507223.197937
243,AYU,
244,AOF,75625093.53950214
245,AVL,94981257.72533417
246,AVG,32287373.9395864
247,ATS,15816720.521484375
248,ASG,524311791.9046936
249,AVA,23528232.06925392
250,AVD,15712975.20250082
251,AVE,15867299.485338211
252,AEV,29810480.02415085
253,AVW,1878331.001977861
254,AVH,218816919.4805374
255,AVJ,372909265.3780823
256,AXL,14654135.802432895
257,AXI,9086979.636890173
258,AXP,6684680.509505272
259,BBN,228689407.07683563
260,BPP,19034449.49454689
261,BTI,
262,BM1,152999882.6909542
263,BMR,29160617.478738785
264,B01,
265,BOQ,5093734000.0
266,BMN,529939744.96899414
267,BAP,1330612191.769043
268,BGD,184204798.3932495
269,BSN,2456579.945091158
270,BAS,9286785.456890464
271,BMO,3307425.052749276
272,BRL,191980009.26072502
273,BM8,10322531.944066286
274,BMH,5418918.882637024
275,BMM,7862759.661525488
276,BDX,22690015.629172325
277,BCI,996190952.0778198
278,BPT,2885882316.1653137
279,BLX,839167537.4450684
280,BCN,136830990.4655218
281,BCC,10370628.24819839
282,BMT,74092292.69451141
283,BTL,340350989.7769089
284,B4P,96514442.11864471
285,BGA,1611376821.7903595
286,BRX,14687915.834494352
287,BFG,402533718.4705734
288,BVR,27797825.60250163
289,BGL,1321315307.5212402
290,BEN,7042914880.93396
291,BHD,4472172.177708149
292,BEL,1116542.4097053707
293,BNZ,248966633.6157322
294,BEO,18778163.986325264
295,BKY,238501402.4114914
296,BEZ,38465298.406475544
297,BFC,5991150.0040771365
298,BET,185851203.5259018
299,BBT,312783607.33509064
300,BWN,160991928.8598175
301,BHP,204054888010.58594
302,BRI,121255636.65540314
303,BIM,6407499.965280294
304,BGT,6711341.787633896
305,BIO,115819715.54027176
306,BIT,4147649.8272928
307,BXN,110406325.48745728
308,BDT,9527674.057751894
309,BIS,196885397.2377777
310,BKI,1509340613.768715
311,BCA,49864875.0
312,BC8,651000313.8894997
313,BDG,24600996.072411537
314,BKT,42715549.234874725
315,BSX,114899604.06826591
316,BWF,71085348.57064486
317,BLZ,7113840.465889275
318,BB1,55077090.3018713
319,XYZ,72078076736.5039
320,BLU,12956790.28793323
321,BNL,26943120.6397295
322,BCT,3616889.887439251
323,BSL,10408214719.540283
324,BS1,
325,BLG,25764300.224123
326,BMG,9288366.861670017
327,BBC,31471133.301138878
328,BOA,2467059.944856912
329,BML,48864899.16783571
330,BOD,
331,BOL,54066710.63838005
332,BOE,764289264.0953064
333,BTE,18282109.517835617
334,BOT,294169509.2892456
335,BOC,258222561.98596954
336,BUY,3903674.792746067
337,BCB,10775774.828190804
338,BP1,
339,BPH,10354955.698744297
340,BP8,1050990.065919347
341,BPM,3666615.918044746
342,BRN,441026749.4330864
343,BXB,31864596458.017822
344,BVS,1004312928.4358368
345,BCM,17036890.97551155
346,BRE,600830037.4646187
347,BTM,8940191.800171137
348,BRG,4888270188.217163
349,BKW,5241424945.852661
350,BGE,3797321.029896617
351,BTR,248677604.13646698
352,BBL,103923030.39007187
353,BGP,1225345000.0
354,BCK,291046822.34505844
355,BHM,126280759.41026878
356,BRK,39891831.03787136
357,BYH,4114120.1314102113
358,BSA,10542042.604882479
359,BFL,3966694426.1589355
360,BTC,20820673.50092888
361,BUS,5738800.085514784
362,BUB,147366453.2158165
363,BNR,15267875.899012566
364,BDM,40539460.420425415
365,BUR,7366680.155341864
366,BRU,17147019.55508709
367,BTN,32673121.109604836
368,BUX,15153011.123707056
369,BWE,
370,BWP,2665714065.9454193
371,C29,3309571.893580258
372,CDM,202536995.76507568
373,CDO,26841980.752897263
374,CCM,12240294.46167469
375,DXA,
376,CXL,103044001.53678703
377,CMB,7678733.760258555
378,CHL,32532682.937586308
379,CP8,20246225.36229372
380,CAN,8466991.278694153
381,CAE,15289679.793864489
382,CBY,4978583.851275563
383,CAY,490814519.438118
384,CAA,192838973.54717255
385,CRS,45508117.92915726
386,CMM,4277236113.5358887
387,CSC,7459693614.0078125
388,CAQ,5024502.043089747
389,CAR,13980968000.0
390,CVV,89402079.28170776
391,CWX,19598373.590070248
392,CRB,4000640.1900202036
393,CG1,28469153.547167778
394,CDX,19802879.147529602
395,CTQ,3082548.1227945685
396,CDP,429406201.5703201
397,CIN,989477363.299942
398,CNB,82220127.5151372
399,CVN,196799387.13563156
400,CAV,16360880.905100107
401,CCE,25246805.55688286
402,CCV,207089866.1490116
403,CPN,9493412.463897347
404,CMD,15272818.093242645
405,CST,18966791.70112872
406,CDT,6960599.844418466
407,CTN,9704080.844919086
408,CYL,1611540048.789978
409,CAT,1764564180.4790497
410,CXU,15921440.500227809
411,CVR,15906605.344766378
412,CAZ,9687363.03739494
413,CD1,18823867.47713089
414,CD2,37784953.501439095
415,CD3,85713800.12149811
416,CWP,599852060.4262352
417,CLA,21948431.013475418
418,CTM,208614410.12674904
419,CTP,43224961.82821655
420,CAF,81951619.28516626
421,CXM,14749303.0735569
422,CNI,1622829958.1836853
423,C2F,
424,CIP,2095272296.1241302
425,COF,776536771.5167999
426,CTT,116277597.60682678
427,CGR,5178130.822695792
428,CHN,638133808.1937943
429,CEL,227343591.72811508
430,CGF,5786984731.578369
431,CIA,2288457995.274109
432,CCA,51513976.44698143
433,CHR,4180690.9084431827
434,CC9,9740200.14514029
435,CHC,10297144732.36084
436,CLW,3142871773.7199097
437,CQR,2301670885.5321655
438,CQE,1146862660.871338
439,CMX,33545721.52412796
440,CHW,78028690.25711823
441,CHM,9763680.084869266
442,CNU,3657667609.8518066
443,C79,599001661.0922813
444,CTO,12000000.569969416
445,CCX,30812640.5912838
446,CVL,610233946.7849731
447,CL8,3805984.078526497
448,C7A,2353084.015765488
449,CU6,1628987749.1588974
450,CLZ,3017700.2393330634
451,CNQ,15532099.431446314
452,CWY,6450451380.385071
453,CSX,69529114.55106735
454,CVW,312413605.6673527
455,CPV,68263124.3685875
456,COV,46902501.2254715
457,CC5,57054722.709953785
458,CAM,104145998.22640419
